id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
PVVQS,LTAC,Living room,6,6,Yes,A person walks in the kitchen and turns on the light. The are laughing and begin throwing their shoes.,doorway;floor;hall;light;shoe,A person is walking through a doorway. A person then turns on a light and begins laughing. A person then throws their shoes down the hallway.;A person walks into a room carrying a pair of slippers and turns on the light. The person stands in the middle of the room smiling and then throws the slippers down a hallway.,c053 5.50 10.70;c104 5.00 10.60;c149 7.00 21.10;c058 23.00 29.00;c097 0.00 9.00;c152 7.00 29.00;c126 23.20 29.80;c054 23.40 31.10,30.58
WFVD3,L4ZP,Bathroom,7,6,Yes,"A person standing in the doorway opening, throws a book inside near a laptop.",book;door;floor;light,A person holds a book in a doorway. They turn the light off and throw the book in a room;A person is walking out of the bathroom with a book and then throws the book.,c025 0.00 12.40;c031 10.20 18.40;c105 8.70 14.30;c097 12.60 20.00;c026 0.00 21.00;c126 15.50 21.00;c027 0.70 5.70,20.29
XHQT1,0RNU,Garage,6,7,Yes,A person is tidying shoes on a shelf in a garage. The person then walks through a doorway and exits the garage.,door;shelf;shoe,"A person is tidying shoes on a shelf.  The person then walked out a door.;A person is tidying up shoes on a shelf. The person is rearranging the pairs of shoes. The person walks away, opens a door, goes through it, and closes it behind them.",c053 1.50 26.80;c056 11.80 23.80;c141 27.40 32.40;c054 0.00 5.70;c097 26.40 34.20;c082 0.00 21.80;c008 27.70 33.40,33.67
VAXUU,BYF9,Closet / Walk-in closet / Spear closet,7,7,Yes,A person is seen taking a camera from their closet. They grasp the doorknob and begin closing the closet door.,camera;closet/cabinet;curtain;door;phone;shelf;wardrobe,"A person moves a curtain and picks up a camera from the wardrobe. The person then leaves the room with the camera, closing the door behind themselves.;A person opens a curtain and gets a camera from a shelf. They then close a door",c006 13.70 22.00;c015 2.70 22.00;c018 2.20 9.20;c113 0.00 3.20;c097 0.20 5.00,21.00
0NFT7,5LWB,Other,6,6,Yes,A person is tidying up the garage by putting up some towels. A second person enters the doorway to hand the person a drink. The first person drinks from the glass as they walk out of the garage through the same doorway.,clothes;dish;door;floor;glass;laundry;towel,"A person is walking and sorting laundry.  Person 1 puts laundry in piles on the floor.  Person two walks into the room holding two drinks and hands person 1 a drink, as person 1 walks out the door.;A person dropping clothes in a line and before exiting the room, Another person enters the room handing the person a drink",c034 4.10 11.40;c000 0.10 7.40;c003 3.00 9.60;c001 3.10 9.90;c118 13.00 23.00;c126 5.40 9.70;c126 6.70 11.50;c097 11.30 18.50,22.00
1D31Z,T7C3,Pantry,6,6,Yes,"A person is fixing a sandwich in the pantry. The person laughs as they take a drink from a glass of water, then leaves through the doorway.",bag;bread;cup;dish;doorway;food;glass;groceries;sandwich;shelf;water,A person is taking bread out of a bag and  drinking from a glass of water.,c097 33.80 39.90;c106 28.60 35.30;c020 0.00 16.50;c130 10.60 17.30;c022 10.40 17.50;c061 0.00 39.70;c081 10.80 17.30;c063 0.00 8.20;c067 26.30 39.90;c023 0.00 15.00;c066 11.90 30.30;c118 26.40 39.90,38.67
WFWTU,1TZV,Garage,7,7,Yes,"A person runs into the garage, eating a piece of food. The person runs out, closing the door behind them.",door;food,"A person is running into a garage eating some food, they then leave and close the door behind them.",c061 0.00 23.00;c006 18.30 23.00;c150 0.00 4.80;c156 0.00 17.90;c097 0.00 4.60,22.29
3H0PT,OUKK,Living room,6,7,Yes,A person is sitting at a desk eating food. They get up and leave the room closing the door behind them.,chair;desk;door;food;laptop,A man sitting at a desk with a laptop on a the keyboard tray gets up and leaves through a door.,c008 10.00 17.30;c061 0.00 4.10;c156 0.00 13.00;c154 8.30 13.40;c059 0.00 13.00;c141 10.50 16.40;c051 0.00 12.30;c097 13.30 18.00,17.42
UU5XI,XARO,Bathroom,7,7,Yes,A person is fixing the doorknob.  Then a person is taking groceries out of the room.,bag;doorknob;doorway;groceries;tool,"A person is fixing a doorknob with a tool. The person picks up a bag and walks through the doorway.;A person is fixing a doorknob, then picks up their tools and walks away.",c140 0.00 25.70;c022 26.20 31.00;c097 27.20 31.00;c020 26.10 31.00,30.33
PK2F0,RJOM,Bedroom,7,7,Yes,"A person walks into the bedroom holding a stack of clothing, they put the clothing down walk back to the door and close it they put away the clothing in the wardrobe and then lay down on the bed.",bed;closet;clothes;door;shelf;wardrobe,"A person is opening a door holding a pile of clothes then proceeds to put them away in a closet, they close the door and lay down on a bed.",c006 11.90 19.20;c008 3.20 9.60;c113 3.30 10.20;c000 0.20 12.00;c001 0.00 11.40;c134 17.20 25.00;c097 0.00 5.00;c081 5.10 11.80;c112 8.40 14.00,24.12
PXKFK,D0RU,Entryway (zA hall that is generally located at the entrance of a house),7,6,Yes,A person is smiling at the light outside the door.  Then a person is taking groceries inside that were in a bag by the door.,bag;door;groceries;hallway,"A person is walking through a hallway and then goes through a door way to pick up a plastic bag with stuff inside, the person then reaches into the bag.",c023 22.80 37.00;c020 26.30 37.00;c021 26.00 32.70;c097 28.10 37.00,35.58
YPZQ2,28B0,Hallway,7,7,Yes,"The person is standing in the hallway with bags of groceries, while another person takes some of the groceries and leaves through the door.",bag;doorway;groceries,A person is holding bags in a doorway while another person comes in and takes a bag then they both leave.,c020 0.00 27.00;c023 9.30 15.50;c097 7.80 12.70,26.33
XV8CH,ZAWX,Kitchen,6,6,Yes,"A person is cooking at the stove, taking a spoon out of a drawer.  Another person walks in the door and puts their keys on the table.",doorway;food;matches;spoon;stove;table;window,A person is cooking food at a stove while another person walks by and sets something on a table then walks out.;Person light a stove with a match then walk over and get a spoon another person walks out the door.,c009 19.50 26.00;c147 0.00 12.60;c097 16.80 21.60;c092 22.40 29.00,28.21
K2L7F,BPRF,Bathroom,7,6,Yes,"A person brings a broom into the bathroom.  The person sneezes violently three times.  They then lean the broom against the doorknob of the bathroom door, and they lie down on the floor of the bathroom in order to catch their breath from the sneezing.",broom;door;floor,"A person is sneezing while carrying a broom, then lies down on the floor.",c124 14.30 32.00;c098 0.00 16.00;c153 3.00 14.00;c097 3.40 9.30,31.08
WLOCV,5LWB,Bedroom,6,6,Yes,A person is playing peek-a-boo with another person in front of a mirror. They then take selfies in front of the mirror with a camera.,doorway;mirror;phone;picture,"There are two people in this video, one is covering their face while looking into a mirror and the other is holding a camera, holding it backwards while taking a picture of both of them.",c097 11.50 18.90;c015 16.30 35.00;c087 20.00 35.00;c096 15.60 35.00,34.08
9HGNV,D0RU,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,A person walking into an entryway is snuggling a pillow and blanket.,blanket;door;pillow,"A person is holding blankets and carries them through a doorway.;A person walks down a hallway and into a room, carrying and snuggling a pillow and blanket. The person walks across the room and over to a door, and then looks out the door.",c076 4.50 33.00;c078 4.20 33.00;c070 3.40 33.00;c072 3.40 33.00;c097 5.60 11.40,31.75
CYLQ0,ZAWX,Pantry,6,7,Yes,A person opens the door to a cabinet in their pantry. They grab a can of food and close the cabinet.,cabinet;doorway;food;spices,"A person is walking into the kitchen, they then take some food from the cabinet and close the cabinet.;A person walks into the kitchen and opens the cabinet. They remove some spices.",c061 7.90 15.30;c063 15.10 23.10;c112 12.10 21.10;c113 2.10 10.40;c097 10.20 29.00,30.50
G7LU9,KFGP,Hallway,6,6,Yes,"Person is in room. Person smells cooking, Person opens doorknob. Person hears laughing. Person closes door, sad.",door,"A person is in a hall way.  That same person goes and opens the door, looks out and then closes it.",c141 13.50 23.70;c006 10.00 17.20;c008 5.00 13.60;c097 11.20 15.80,23.96
2JKR8,PKND,Kitchen,6,6,Yes,A person is using a broom. After they are finished they leave it in the sink and begin taking some food to bring into another room.,broom;dish;doorway;floor;food;sink,A person sweeps the floor while another places food on a table.,c102 0.10 21.80;c062 22.00 33.00;c097 27.80 33.00;c118 23.30 33.00;c063 22.00 33.00;c099 5.70 24.90;c127 5.20 18.40,32.17
WOD0G,ZAWX,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,"A person runs into the entryway, carrying a towel and a book. The person throws the towel onto the table.",book;clothes;doorway;table;towel,"A person is walking in the hallway holding a book and with a towel in thier shoulder, they then throw they towel on a table.",c026 0.00 32.00;c009 10.80 20.20;c033 0.00 20.00;c034 10.80 20.20;c036 10.80 20.20;c097 0.00 13.90;c003 14.50 19.90,30.79
U6KQ7,Z755,Dining room,7,7,Yes,A person is putting the excess food away from the table while they see the other person leaving and closing the door behind them.,chair;door;food;table,"People sitting at the table eating food one person leaves the room another person follow and close the door.;Three people are in a kitchen. One is walking, the other is sitting, and the last on is eating chips. One of them walks through a door and the other one closes the door.",c063 0.00 5.00;c008 4.80 11.30;c156 0.00 4.10;c097 4.20 12.40;c006 8.90 15.00;c154 2.80 8.40;c059 0.00 15.00;c011 0.00 15.00;c062 0.00 7.60,14.08
FBIVN,DXDI,Bedroom,6,7,Yes,"A person is standing in the doorway, closes the door and grabs a pillow off a shelf and begins holding it.",door;knob;pillow,"A person is closing a door. A person holds a pillow.;Person in doorway looking at pillow. Then closes door, grabs pillow then looks at floor, then hold pillow with two hands.",c076 4.90 21.00;c079 4.40 12.60;c006 1.60 10.30;c141 2.40 9.80;c097 1.70 9.30,20.33
D19IR,ZAWX,Hallway,6,1,No,A person stands in a hallway looking out the window watching kids playing while holding a bag of groceries. The person is putting the bag on the floor to pick up the fallen broom so they don't trip over it.,bag;broom;doorway;floor;groceries;window,A person is sitting on a balcony. They then stand up with a bag of groceries. Nest they go inside and begin sweeping the inside of the living room.,c020 10.30 25.90;c102 23.30 32.00;c154 11.50 18.10;c127 22.10 32.00;c097 16.00 22.00,31.00
SPKSE,T7C3,Kitchen,6,6,Yes,A person is grasping a phone the puts a towel down.,blanket;doorway;phone;towel,A person holds a towel as they talk on the phone.  They throw the towel to the floor and walk away.,c033 0.00 26.40;c036 20.90 27.00;c015 0.00 29.00;c019 2.70 29.00;c097 22.20 28.80;c070 0.00 27.30,28.12
N7AOK,ZAWX,Kitchen,7,7,Yes,"A person walks into the kitchen, sneezing while grasping a blanket. The person takes a pillow from the chair and walks out.",blanket;chair;doorway;pillow,A person is walking into the room and picks up a pillow after tossing aside a blanket. Afterwards they walk out of the room hugging the pillow.,c079 21.00 31.00;c074 13.40 24.10;c071 21.20 26.80;c097 0.40 7.20;c070 17.80 25.00,30.42
I2DHG,ZAWX,Bedroom,7,7,Yes,One person was undressing and then putting their clothes on the bed. Another was smiling while drinking coffee.,bed;clothes;coffee;couch;cup;doorway;shirt,"One person walks into a room, takes off his coat, talks to another person on the couch who is drinking coffee.;A person walks through a doorway and into a bedroom.The person takes off a shirt and puts it on the bed. Another person is laying on a bed and drinking from a cup. The first person smiles.",c001 0.00 11.40;c134 9.10 20.80;c107 9.30 22.70;c152 19.70 32.00;c097 0.00 5.20;c106 13.10 23.40;c155 0.80 11.40;c003 6.50 10.80,30.79
X42YA,P6LJ,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,"One person runs through, sits in a chair, and puts on shoes in front of a mirror.",chair;door;shoe,"a person walks out a door then runs back in and sits in a chair and puts shoes on;The person goes out a door and comes back in the door. The person then grabs a chair, sits down, and puts on their shoes.",c059 14.30 32.30;c150 0.00 15.00;c154 0.00 2.70;c008 1.30 7.50;c151 12.30 19.00;c055 15.20 32.20;c097 2.20 8.00;c006 3.30 10.20,33.25
MD6C0,L4ZP,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,"In the hallway, a person sees a glass sitting on a desk. They take the glass and wash it.",cup;dish;door;glass;rag;shelf;table;towel,A person walks through the door and grabs a cloth and begins to clean a cup.;A man opens a door and walks in. He starts washing a cup.,c097 0.00 5.90;c111 4.70 42.00;c008 0.00 6.30;c082 3.90 42.00;c121 5.90 42.00;c006 1.10 7.70;c038 4.70 42.00,40.71
4DWGO,6RE8,Entryway (A hall that is generally located at the entrance of a house),6,7,Yes,A person walks into the entryway and throws their phone onto the table. The person laughs as they put on their shoes.,chair;clothes;doorway;phone;shoe;table,A person enters a room throws their phone on a table and puts on their shoes.,c055 12.50 33.00;c148 15.80 33.00;c151 12.10 16.70;c059 12.40 33.00;c009 7.20 12.30;c017 0.00 4.80;c097 0.00 4.70;c152 16.90 33.00;c015 0.00 11.80,31.50
KU3WI,0RNU,Garage,6,7,No,"A person walks into the garage, holding a cup of coffee. The person fixes their shirt collar in the mirror.",clothes;coffee;cup;door;mirror;shirt,A person enters the room holding a coffee cup and closes the door. Then they look in a mirror and fix their shirt.;A person opens the door and walks in to the garage. The person is holding a coffee cup. The person adjusts his clothing while looking in mirror.,c096 6.10 24.50;c006 0.90 8.80;c008 0.00 5.70;c107 0.00 25.00;c141 0.00 7.20;c097 0.00 6.90,23.75
A4K1X,L4ZP,Stairs,6,6,Yes,"The person is walking up the stairs, tidying the area by picking up books and clothes lying on the stairs.",blanket;book;clothes;clothing;doorway;pillow;shoes;stairs,"A young person picks up several things up off the stairs and carries them up stairs.;A person picks up clothes and shoes and a picture from the stairs.;Person walks in a door, and picks up clothing while walking up the steps",c030 2.50 9.20;c002 10.80 25.90;c028 24.00 29.90;c117 3.30 8.50;c115 3.10 31.00;c000 6.30 11.30;c097 1.20 5.60;c070 20.20 25.10;c073 21.90 26.60,30.00
E23CT,JVLO,Garage,6,4,Yes,A person is standing in the garage holding a broom.  The person throws the broom into the corner and grabs a vacuum instead.  The person turns off the light and leaves the room.,broom;doorway;light;window,Person takes their broom and moves it into another room before walking towards the door.,c098 1.60 20.90;c099 12.70 20.70;c100 0.00 6.40;c105 22.60 30.50;c092 0.00 5.00;c097 5.10 11.70,31.67
AXFJP,25TD,Laundry room,6,7,Yes,"A person puts a bottle of medicine onto the shelf, then goes over to the washing machine to wash their clothes.",clothes;doorway;drawer;food;laundry;medicine;washer;washing machine,"person standing in laundry room, putting things away and putting a load of laundry onto washer;Person walks in room, open drawer, place can inside, closes drawer, grabs clothes and puts in on top of washer.",c001 13.30 30.00;c000 8.90 13.80;c002 13.30 22.10;c097 0.00 4.20;c004 13.30 30.00,29.08
48WOM,Z68L,Bathroom,6,6,Yes,"After entering the bathroom, a person looked in the cabinet, and began smiling when they found the box with the medicine in it. They then threw the bottle of medicine across the room.",box;cabinet;doorway;medicine;shelf,"A person is going through a shelf in the bathroom. The person takes some medicine out of the shelf and shakes it.;A person walks into the bathroom and removes some medicine from the cabinet. They throw the medicine and laugh.;A girl walks into a bathroom, opens a medicine cabinet and takes out a box. She opens the box and takes something out and tosses it somewhere.",c113 3.70 8.80;c149 17.30 24.40;c128 12.20 20.10;c152 18.90 26.00;c097 1.50 6.60;c043 8.10 15.70;c040 4.20 10.20;c041 4.20 9.50;c044 11.50 15.80,24.67
61N26,Z68L,Bathroom,6,6,Yes,A person is in the bathroom using their laptop with a broom next to them. They are sitting on the toilet holding the laptop.,broom;doorway;laptop,A person is taking a laptop and sitting on the toilet then they put a broom away and resume to working on their laptop.,c098 12.40 20.50;c099 12.90 20.90;c047 1.80 43.00;c052 0.80 43.00;c097 0.00 4.10,42.38
POU1Z,3VLX,Closet / Walk-in closet / Spear closet,6,6,Yes,"A person is tidying the closet and starts running the vacuum. They stop, pick up a broom and the vacuum and leave.",brom;broom;closet;clothes;clothing;doorway;light;vacuum;wardrobe,"The person goes into the closet and looks through clothes before vacuuming the floor and grabbing a broom.;A person is tidying up their closet. The person rearranges the clothes and starts to vacuum the floor in the closet. The person picks up a broom, turns off the light in the closet, and walks out of the closet.",c098 29.80 38.70;c137 13.30 34.10;c004 0.00 16.20;c105 32.00 36.60;c114 1.60 23.00;c097 19.40 30.90,37.71
JOLLV,2RTW,Living room,6,6,Yes,A person is snuggling under a blanket.  Another person is leaving the entryway to put food in the refrigerator.,bag;blanket;doorway;food;groceries;refrigerator;sofa,A person is sitting on the couch with a blanket trying to sleep while another person walks through with a bag of groceries and takes them to the fridge and puts them away.,c143 10.80 17.30;c062 13.30 33.00;c072 0.00 7.70;c130 13.30 33.00;c123 0.00 7.70;c020 4.00 33.00;c097 4.60 10.10,31.58
E891N,2RTW,Living room,6,6,Yes,A Person holding a blanket around themselves and wearing nothing else but socks opens a wardrobe and begins talking to themselves about what they are going to wear today.,blanket;closet;clothing;couch;door;wardrobe,A person is wrapped in a blanket. A person then opens a wardrobe and looks for an article of clothing.;A person wraps himself in a blanket. A person then stands up and opens a closet door.,c070 0.00 32.00;c113 20.80 27.00;c073 12.80 28.80;c154 12.20 19.80;c072 0.00 32.00;c097 18.60 26.40;c008 20.20 28.80,31.42
FN71T,9PLL,Bathroom,7,7,Yes,A person is tidying up their bathroom while talking on their phone. They take a pile of clothes and close the door and leave.,clothes;door;phone;sink,"A person walks into a bathroom talking on a phone. The person then begins pick things up off the floor and placing them into the sink. The person then picks up some clothes off the floor and walks out of the bathroom.;Person walks into bathroom, while talking on the phone. Person puts some stuff in the sink and then grabs clothes and walks out of bathroom, while still talking on the phone.",c019 0.00 33.00;c002 20.00 28.40;c015 0.40 32.10;c097 0.00 5.70,31.83
0MK2C,DXDI,Stairs,7,7,Yes,A person is running up the stairs holding a pair of shoes.  The person goes through a door.,doorway;shoe;stairs,A person runs up the stairs carrying a pair of shoes and opens a door.,c150 1.50 8.80;c053 1.10 8.80;c097 4.00 9.50,9.04
9XXJ7,FNK4,Kitchen,7,7,Yes,A person is sneezing while turning a doorknob and then drinking coffee while talking on a phone in a living room.,coffee;cup;door;glass;phone,A person enters a kitchen while talking on the phone and holding a glass.;A person goes and closes a door and then picks up a phone off the counter.  The same person also starts drinking coffee out of a mug.,c106 11.40 18.50;c107 9.20 31.70;c141 0.60 6.80;c019 7.10 32.00;c152 8.30 13.70;c015 7.40 13.70;c018 5.90 11.40;c153 2.00 8.20;c006 0.60 6.80;c110 10.50 15.10;c097 5.40 10.80,30.75
HYR9Q,YA10,Kitchen,7,7,Yes,"One person puts a laptop on a table, then leaves with a sandwich and a glass from the refrigerator.",cup/glass/bottle;doorway;food;laptop;refrigerator;sandwich;table,A person walks into a room and puts their laptop on a table. They open the refrigerator and take out some food.,c142 19.70 26.70;c067 14.50 28.10;c047 0.00 7.10;c049 0.30 9.10;c097 0.00 4.10;c107 12.20 29.00;c009 1.60 9.00;c063 12.90 19.60;c069 14.60 20.60;c143 7.50 13.90,28.42
L62J5,BYF9,Living room,6,7,Yes,A person is walking over to the table. The person takes some food and takes a picture of it.,doorway;food;phone;picture;plate;table,"This person enter the living room, picks plate off of table and take a picture of it with their cellphone.;A person walks in from a door into a living room, then picks up a plate of food from a table and then takes a picture of the food using a camera phone.",c063 7.50 14.00;c015 1.80 19.00;c087 8.90 19.00;c016 10.00 19.00;c097 1.10 5.50,18.46
5O0YS,5LWB,Entryway (A hall that is generally located at the entrance of a house),6,5,Yes,"A person is standing in the entryway while holding a pillow. As they are leaving the area, they start running to the door and the place their hand on the doorknob.",door;face;hair;hand;pillow,"Person standing holding pillow, touches hair, rest arm on door knob while touching face, runs out room with pillow.;A person is standing in the middle of a room holding a pillow, then runs out of the room through an entryway.",c076 0.00 20.90;c150 15.80 22.00;c097 16.00 22.00,20.75
ZJPK8,D0RU,Bedroom,7,6,Yes,A person is opening the door to the bedroom.  The person is standing by a pile of clothes and puts a blanket on top of the pile.,blanket;clothes;door,"A person carrying some clothes opens a door, picks up a blanket, then puts them all on a bed.",c001 24.10 31.00;c008 5.50 15.00;c071 24.20 30.80;c073 10.10 18.90;c000 0.00 30.00;c097 9.20 15.00;c002 11.50 18.50;c070 13.10 29.40,32.54
1AR0K,T7C3,Pantry,7,6,Yes,A person is running into the pantry with a broom.  Then a person is working on opening a bottle of medicine that has the lid on too tight so it is hard to open.,broom;doorway;medicine,"A person walks into the bathroom holding a broom. The person puts the broom down and begins to open a bottle. The person struggles to open the bottle and gives up, walking out of the room.",c098 11.10 18.60;c099 14.60 20.70;c128 17.00 50.70;c097 46.80 54.70,59.38
UNGPY,D0RU,Bathroom,7,,No,"A person can drink coffee in the office, A person can stand in their office while wearing a towel on their head.",coffee;cup;dish;door;head,"A person is drinking something. The person then places a camera on top of the bathroom toilet. The person then walks out the bathroom, and closes the door.",c106 6.90 13.00;c107 0.00 13.90;c097 0.00 4.10;c006 14.60 20.20;c119 9.10 14.70;c110 4.60 9.60;c141 13.90 20.20,30.46
DPCGS,PKND,Bedroom,6,6,Yes,Person is walking to laundry room smiling holding laptop in one hand and sandwich in another.,doorway;food;hand;laptop;sandwich,Person in a doorway walked in eating a sandwich with a a laptop in hand.;A person walks in through a doorway holding a laptop eating a sandwich they open their laptop and eat their sandwich.,c048 12.90 19.10;c065 2.40 9.80;c152 0.00 6.10;c156 2.10 9.80;c067 0.00 31.00;c097 0.00 5.40;c061 0.00 31.00,30.42
SAIDX,ATJI,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,"One person opens the door, walks in, and throws a blanket on the table.",blanket;clothes;door;table,Person walks into a room and throws blanket onto a nearby table.,c074 3.90 8.90;c008 0.00 5.20;c009 3.70 9.00;c003 4.10 8.60;c097 0.20 5.40,9.58
U3NKR,Z68L,Bathroom,6,6,Yes,Person is in the bathroom throwing the towel over the door while using the broom to clean the floor and pouring water in a plant.,broom;doorway;floor;spray;towel,"Someone walks into a bathroom with a broom, spray, and towel. They put the towel on the door and spray the floor and begin brooming and then they leave.",c098 3.80 47.40;c102 5.20 47.90;c127 5.20 47.90;c033 1.10 11.40;c034 4.20 11.40;c097 2.80 8.50,47.96
1GQAJ,6RE8,Bedroom,6,7,Yes,"A person walks in holding a broom, shutting the door behind them using the doorknob.  They start tidying up around the bed area.",bed;broom;door;floor,"A person opens the door to a bedroom, walks in holding a broom and begins to sweep the floor.",c098 1.80 17.70;c102 5.90 24.80;c141 8.50 21.70;c008 10.90 31.10;c127 8.20 28.40;c097 0.20 6.30,33.42
OVHFT,UTMU,Laundry room,6,7,No,A person is grasping a camera after taking a picture then decines to play with their sandwich.,clothes;door;floor;light;medicine;shoe,"A person walked into the laundry room took of their shoes picked up a bottle and walked out;A person walks into a room, turns on a light and takes off their shoes, they then grab some medicine and leave.",c056 7.60 17.60;c057 8.20 17.50;c104 6.30 12.90;c054 9.20 17.00;c006 2.30 9.50;c126 9.20 17.00;c058 9.20 17.00;c008 0.00 5.30;c155 8.50 15.60;c097 1.00 6.30,26.21
D0YWV,RPBD,Entryway (A hall that is generally located at the entrance of a house),6,7,Yes,"A person returns home, holding their phone, and closes the door. The person throws their phone onto the table.",door;phone,A person is walking through a door the closing it and holding a phone in their hands.,c015 6.60 29.00;c006 6.70 13.20;c008 3.40 11.40;c097 3.10 11.60;c141 2.60 10.00,27.67
RXF2Q,6RE8,Entryway (A hall that is generally located at the entrance of a house),6,7,No,"A person is walking over to their desk. Then, sitting down, the person opens up their laptop.",clothes;desk;doorknob;doorway;hair;hat;laptop;table,"A person enters the room and closes the door. They take off their hat, sniff it, and put it back on. They then sit at a desk and open the laptop.",c011 23.60 35.00;c048 25.40 33.50;c001 3.50 20.40;c141 0.00 5.30;c151 20.50 28.20;c097 0.00 4.40;c144 5.10 13.00,34.33
